Size, Type, Time
775000, "Parallel", 0.225152
775000, "Built-in", 0.169120
800000, "Sequential", 0.193890
800000, "Parallel", 0.246854
800000, "Built-in", 0.179584
825000, "Sequential", 0.203979
825000, "Parallel", 0.181966
825000, "Built-in", 0.180663
850000, "Sequential", 0.215147
850000, "Parallel", 0.203642
850000, "Built-in", 0.189235
875000, "Sequential", 0.208794
875000, "Parallel", 0.182324
875000, "Built-in", 0.190803
900000, "Sequential", 0.213741
900000, "Parallel", 0.172091
900000, "Built-in", 0.202311
925000, "Sequential", 0.237586
925000, "Parallel", 0.217520
925000, "Built-in", 0.202341
950000, "Sequential", 0.224572
950000, "Parallel", 0.244964
950000, "Built-in", 0.205008
975000, "Sequential", 0.234973
975000, "Parallel", 0.214926
975000, "Built-in", 0.211972
1000000, "Sequential", 0.241386
1000000, "Parallel", 0.240062
1000000, "Built-in", 0.216167
1025000, "Sequential", 0.235500
1025000, "Parallel", 0.237838
1025000, "Built-in", 0.228081
1050000, "Sequential", 0.257676
1050000, "Parallel", 0.291008
1050000, "Built-in", 0.235010
1075000, "Sequential", 0.250692
1075000, "Parallel", 0.334396
1075000, "Built-in", 0.233150
1100000, "Sequential", 0.277864
1100000, "Parallel", 0.230396
1100000, "Built-in", 0.246946
1125000, "Sequential", 0.294448
1125000, "Parallel", 0.235971
1125000, "Built-in", 0.246816
1150000, "Sequential", 0.275020
1150000, "Parallel", 0.310459
1150000, "Built-in", 0.256314
1175000, "Sequential", 0.274310
1175000, "Parallel", 0.320270
1175000, "Built-in", 0.255814
1200000, "Sequential", 0.285074
1200000, "Parallel", 0.289405
1200000, "Built-in", 0.261410
1225000, "Sequential", 0.290445
1225000, "Parallel", 0.257595
1225000, "Built-in", 0.283847
1250000, "Sequential", 0.298229
1250000, "Parallel", 0.335255
1250000, "Built-in", 0.274124
1275000, "Sequential", 0.301110
1275000, "Parallel", 0.247298
1275000, "Built-in", 0.284629
1300000, "Sequential", 0.323115
1300000, "Parallel", 0.324426
1300000, "Built-in", 0.284210
1325000, "Sequential", 0.320407
1325000, "Parallel", 0.411151
1325000, "Built-in", 0.292123
1350000, "Sequential", 0.340090
1350000, "Parallel", 0.272398
1350000, "Built-in", 0.296497
1375000, "Sequential", 0.326608
1375000, "Parallel", 0.307549
1375000, "Built-in", 0.309292
1400000, "Sequential", 0.337791
1400000, "Parallel", 0.393633
1400000, "Built-in", 0.310274
1425000, "Sequential", 0.342717
1425000, "Parallel", 0.352691
1425000, "Built-in", 0.338608
1450000, "Sequential", 0.357984
1450000, "Parallel", 0.288524
1450000, "Built-in", 0.333505
1475000, "Sequential", 0.349354
1475000, "Parallel", 0.334562
1475000, "Built-in", 0.340600
1500000, "Sequential", 0.351496
1500000, "Parallel", 0.302291
1500000, "Built-in", 0.334389
1525000, "Sequential", 0.385380
1525000, "Parallel", 0.288250
1525000, "Built-in", 0.347482
1550000, "Sequential", 0.370636
1550000, "Parallel", 0.427371
1550000, "Built-in", 0.345084
1575000, "Sequential", 0.380340
1575000, "Parallel", 0.342070
1575000, "Built-in", 0.354435
1600000, "Sequential", 0.385918
1600000, "Parallel", 0.468955
1600000, "Built-in", 0.358458
1625000, "Sequential", 0.393395
1625000, "Parallel", 0.359959
1625000, "Built-in", 0.370587
1650000, "Sequential", 0.405014
